date,year,time_window,sector,energy_type,value_trillion_btu
1976-07-01,1976,1973-1989,transportation,biomass,0
1976-07-01,1976,1973-1989,residential,biomass,40.794
1976-07-01,1976,1973-1989,industrial,biomass,103.323
1976-08-01,1976,1973-1989,residential,biomass,40.794
1976-08-01,1976,1973-1989,transportation,biomass,0
1976-08-01,1976,1973-1989,industrial,biomass,103.323
1976-08-01,1976,1973-1989,commercial,biomass,0.771
1976-08-01,1976,1973-1989,electric power,biomass,0.223
1976-09-01,1976,1973-1989,transportation,biomass,0
1976-09-01,1976,1973-1989,electric power,biomass,0.222
1976-09-01,1976,1973-1989,residential,biomass,39.478
1976-09-01,1976,1973-1989,industrial,biomass,99.99
1976-09-01,1976,1973-1989,commercial,biomass,0.746
1976-10-01,1976,1973-1989,residential,biomass,40.794
1976-10-01,1976,1973-1989,electric power,biomass,0.226
1976-10-01,1976,1973-1989,commercial,biomass,0.771
1976-10-01,1976,1973-1989,transportation,biomass,0
1976-10-01,1976,1973-1989,industrial,biomass,103.323
1976-11-01,1976,1973-1989,transportation,biomass,0
1976-11-01,1976,1973-1989,commercial,biomass,0.746
1976-11-01,1976,1973-1989,industrial,biomass,99.99
1976-11-01,1976,1973-1989,residential,biomass,39.478
1976-11-01,1976,1973-1989,electric power,biomass,0.438
1976-12-01,1976,1973-1989,transportation,biomass,0
1976-12-01,1976,1973-1989,residential,biomass,40.794
1976-12-01,1976,1973-1989,commercial,biomass,0.771
1976-12-01,1976,1973-1989,electric power,biomass,0.476
1976-12-01,1976,1973-1989,industrial,biomass,103.323
1977-01-01,1977,1973-1989,electric power,biomass,0.514
1977-01-01,1977,1973-1989,commercial,biomass,0.874
1977-01-01,1977,1973-1989,industrial,biomass,108.818
1977-01-01,1977,1973-1989,transportation,biomass,0
1977-01-01,1977,1973-1989,residential,biomass,46.014
1977-02-01,1977,1973-1989,transportation,biomass,0
1977-02-01,1977,1973-1989,commercial,biomass,0.789
1977-02-01,1977,1973-1989,residential,biomass,41.561
1977-02-01,1977,1973-1989,industrial,biomass,98.287
1977-02-01,1977,1973-1989,electric power,biomass,0.538
1977-03-01,1977,1973-1989,transportation,biomass,0
1977-03-01,1977,1973-1989,commercial,biomass,0.874
1977-03-01,1977,1973-1989,industrial,biomass,108.818
1977-03-01,1977,1973-1989,residential,biomass,46.014
1977-03-01,1977,1973-1989,electric power,biomass,0.511
1977-04-01,1977,1973-1989,electric power,biomass,0.477
1977-04-01,1977,1973-1989,industrial,biomass,105.308
1977-04-01,1977,1973-1989,residential,biomass,44.53
1977-04-01,1977,1973-1989,commercial,biomass,0.845
1977-04-01,1977,1973-1989,transportation,biomass,0
1977-05-01,1977,1973-1989,industrial,biomass,108.818
1977-05-01,1977,1973-1989,transportation,biomass,0
1977-05-01,1977,1973-1989,commercial,biomass,0.874
1977-05-01,1977,1973-1989,residential,biomass,46.014
1977-05-01,1977,1973-1989,electric power,biomass,0.48
1977-06-01,1977,1973-1989,electric power,biomass,0.47
1977-06-01,1977,1973-1989,industrial,biomass,105.308
1977-06-01,1977,1973-1989,transportation,biomass,0
1977-06-01,1977,1973-1989,residential,biomass,44.53
1977-06-01,1977,1973-1989,commercial,biomass,0.845
1977-07-01,1977,1973-1989,transportation,biomass,0
1977-07-01,1977,1973-1989,residential,biomass,46.014
1977-07-01,1977,1973-1989,electric power,biomass,0.214
1977-07-01,1977,1973-1989,industrial,biomass,108.818
1977-07-01,1977,1973-1989,commercial,biomass,0.874
1977-08-01,1977,1973-1989,electric power,biomass,0.375
1977-08-01,1977,1973-1989,industrial,biomass,108.818
1977-08-01,1977,1973-1989,residential,biomass,46.014
1977-08-01,1977,1973-1989,transportation,biomass,0
1977-08-01,1977,1973-1989,commercial,biomass,0.874
1977-09-01,1977,1973-1989,electric power,biomass,0.427
1977-09-01,1977,1973-1989,transportation,biomass,0
1977-09-01,1977,1973-1989,residential,biomass,44.53
1977-09-01,1977,1973-1989,commercial,biomass,0.845
1977-09-01,1977,1973-1989,industrial,biomass,105.308
1977-10-01,1977,1973-1989,transportation,biomass,0
1977-10-01,1977,1973-1989,electric power,biomass,0.466
1977-10-01,1977,1973-1989,industrial,biomass,108.818
1977-10-01,1977,1973-1989,residential,biomass,46.014
1977-10-01,1977,1973-1989,commercial,biomass,0.874
1977-11-01,1977,1973-1989,transportation,biomass,0
1977-11-01,1977,1973-1989,industrial,biomass,105.308
1977-11-01,1977,1973-1989,commercial,biomass,0.845
1977-11-01,1977,1973-1989,residential,biomass,44.53
1977-11-01,1977,1973-1989,electric power,biomass,0.317
1977-12-01,1977,1973-1989,electric power,biomass,0.229
1977-12-01,1977,1973-1989,industrial,biomass,108.818
1977-12-01,1977,1973-1989,transportation,biomass,0
1977-12-01,1977,1973-1989,commercial,biomass,0.874
1977-12-01,1977,1973-1989,residential,biomass,46.014
1978-01-01,1978,1973-1989,electric power,biomass,0.368
1978-01-01,1978,1973-1989,transportation,biomass,0
1978-01-01,1978,1973-1989,residential,biomass,52.815
1978-01-01,1978,1973-1989,commercial,biomass,1.005
1978-01-01,1978,1973-1989,industrial,biomass,118.94
1978-02-01,1978,1973-1989,electric power,biomass,0.346
1978-02-01,1978,1973-1989,transportation,biomass,0
1978-02-01,1978,1973-1989,residential,biomass,47.703
1978-02-01,1978,1973-1989,commercial,biomass,0.908
1978-02-01,1978,1973-1989,industrial,biomass,107.43
1978-03-01,1978,1973-1989,commercial,biomass,1.005
1978-03-01,1978,1973-1989,electric power,biomass,0.376
1978-03-01,1978,1973-1989,transportation,biomass,0
1978-03-01,1978,1973-1989,industrial,biomass,118.94
1978-03-01,1978,1973-1989,residential,biomass,52.815
1978-04-01,1978,1973-1989,residential,biomass,51.111
1978-04-01,1978,1973-1989,electric power,biomass,0.162
1978-04-01,1978,1973-1989,transportation,biomass,0
1978-04-01,1978,1973-1989,commercial,biomass,0.973
1978-04-01,1978,1973-1989,industrial,biomass,115.103
1978-05-01,1978,1973-1989,industrial,biomass,118.94
1978-05-01,1978,1973-1989,residential,biomass,52.815
1978-05-01,1978,1973-1989,commercial,biomass,1.005
1978-05-01,1978,1973-1989,electric power,biomass,0.164
1978-05-01,1978,1973-1989,transportation,biomass,0
1978-06-01,1978,1973-1989,transportation,biomass,0
1978-06-01,1978,1973-1989,electric power,biomass,0.153
1978-06-01,1978,1973-1989,residential,biomass,51.111
1978-06-01,1978,1973-1989,industrial,biomass,115.103
1978-06-01,1978,1973-1989,commercial,biomass,0.973
1978-07-01,1978,1973-1989,commercial,biomass,1.005
1978-07-01,1978,1973-1989,industrial,biomass,118.94
1978-07-01,1978,1973-1989,residential,biomass,52.815
1978-07-01,1978,1973-1989,electric power,biomass,0.152
1978-07-01,1978,1973-1989,transportation,biomass,0
1978-08-01,1978,1973-1989,industrial,biomass,118.94
1978-08-01,1978,1973-1989,electric power,biomass,0.429
1978-08-01,1978,1973-1989,residential,biomass,52.815
1978-08-01,1978,1973-1989,transportation,biomass,0
1978-08-01,1978,1973-1989,commercial,biomass,1.005
1978-09-01,1978,1973-1989,commercial,biomass,0.973
1978-09-01,1978,1973-1989,transportation,biomass,0
1978-09-01,1978,1973-1989,electric power,biomass,0.268
1978-09-01,1978,1973-1989,industrial,biomass,115.103
1978-09-01,1978,1973-1989,residential,biomass,51.111
1978-10-01,1978,1973-1989,residential,biomass,52.815
1978-10-01,1978,1973-1989,industrial,biomass,118.94
1978-10-01,1978,1973-1989,transportation,biomass,0
1978-10-01,1978,1973-1989,electric power,biomass,0.409
1978-10-01,1978,1973-1989,commercial,biomass,1.005
1978-11-01,1978,1973-1989,transportation,biomass,0
1978-11-01,1978,1973-1989,industrial,biomass,115.103
1978-11-01,1978,1973-1989,electric power,biomass,0.371
1978-11-01,1978,1973-1989,commercial,biomass,0.973
1978-11-01,1978,1973-1989,residential,biomass,51.111
1978-12-01,1978,1973-1989,residential,biomass,52.815
1978-12-01,1978,1973-1989,electric power,biomass,0.301
1978-12-01,1978,1973-1989,industrial,biomass,118.94
